Time,Time Code,Angola [AGO] - Real effective exchange rate index (2010 = 100) [PX.REX.REER],"Angola [AGO] - Official exchange rate (LCU per US$, period average) [PA.NUS.FCRF]"
1960,YR1960,..,2.86684433333333E-08
1961,YR1961,..,2.873486E-08
1962,YR1962,..,2.86784433333333E-08
1963,YR1963,..,2.87520266666666E-08
1964,YR1964,..,2.88197766666666E-08
1965,YR1965,..,2.87785266666666E-08
1966,YR1966,..,2.882386E-08
1967,YR1967,..,2.884161E-08
1968,YR1968,..,2.872761E-08
1969,YR1969,..,2.85611933333333E-08
1970,YR1970,..,2.862511E-08
1971,YR1971,..,2.819112E-08
1972,YR1972,..,2.7052815E-08
1973,YR1973,..,2.451462E-08
1974,YR1974,..,2.54076008333333E-08
1975,YR1975,..,2.55521808333333E-08
1976,YR1976,..,2.93836233333333E-08
1977,YR1977,..,2.9918E-08
1978,YR1978,..,2.9918E-08
1979,YR1979,..,2.9918E-08
1980,YR1980,..,2.9918E-08
1981,YR1981,..,2.9918E-08
1982,YR1982,..,2.9918E-08
1983,YR1983,..,2.9918E-08
1984,YR1984,..,2.9918E-08
1985,YR1985,..,2.9918E-08
1986,YR1986,..,2.9918E-08
1987,YR1987,..,2.9918E-08
1988,YR1988,..,2.9918E-08
1989,YR1989,..,2.9918E-08
1990,YR1990,..,2.9918E-08
1991,YR1991,..,5.50983333333333E-08
1992,YR1992,..,2.51416666666666E-07
1993,YR1993,..,2.66016666666666E-06
1994,YR1994,..,5.9515E-05
1995,YR1995,..,0.00275022958333333
1996,YR1996,..,0.128029166666666
1997,YR1997,..,0.229040083333333
1998,YR1998,..,0.3928235175
1999,YR1999,..,2.79070616666666
2000,YR2000,..,10.0405441666666
2001,YR2001,..,22.0578616666666
2002,YR2002,..,43.5302066666666
2003,YR2003,..,74.6063008333333
2004,YR2004,..,83.5413625
2005,YR2005,..,87.1591416666666
2006,YR2006,..,80.3680720555555
2007,YR2007,..,76.70614275
2008,YR2008,..,75.0333541666666
2009,YR2009,..,79.3281666666666
2010,YR2010,..,91.9057203405018
2011,YR2011,..,93.93475
2012,YR2012,..,95.467955421311
2013,YR2013,..,96.5182794791525
2014,YR2014,..,98.3024168556335
2015,YR2015,..,120.060701665018
2016,YR2016,..,163.656434116578
2017,YR2017,..,165.915950691497
2018,YR2018,..,252.855747731297
2019,YR2019,..,364.825804980886
2020,YR2020,..,578.25878028011
2021,YR2021,..,631.441955506727
2022,YR2022,..,460.567511631461
2023,YR2023,..,685.020237761448
2024,YR2024,..,869.846189590007
2025,YR2025,..,..
TTTT,(TTTT),..,116.655350712558
,,,
,,,
,,,
Data from database: World Development Indicators,,,
Last Updated: 04/08/2026,,,
