Series,Window,Order,N_train,N_test,AIC,MAPE,RMSE,MAE
CPI Inflation,full sample,"ARIMA(1, 1, 0)",312,60,2152.5237,54.356,0.7291,0.5782
CPI Inflation,post 2002,"ARIMA(1, 0, 0)",216,60,388.6393,42.532,0.5884,0.4864
CPI Inflation,post 2014,"ARIMA(1, 1, 0)",84,60,102.3198,54.4948,0.7311,0.5794
USD/AOA Exchange Rate,full sample,"ARIMA(1, 1, 1)",312,60,1986.3195,50.2139,343.5097,316.703
USD/AOA Exchange Rate,post 2014,"ARIMA(1, 1, 1)",84,60,642.9032,40.8085,273.0564,243.4026
Real Interest Rate,full sample,"ARIMA(0, 1, 0)",312,60,2237.2375,180.9326,7.7337,5.7717
Real Interest Rate,post 2014,"ARIMA(0, 1, 0)",84,60,416.5584,180.9326,7.7337,5.7717
Brent Crude Oil,full sample,"ARIMA(1, 1, 0)",312,60,1847.9851,30.3876,28.71,25.6576
Brent Crude Oil,post 2014,"ARIMA(1, 1, 0)",84,60,514.6459,30.6009,28.8625,25.8255
Natural Gas (EU),full sample,"ARIMA(4, 1, 1)",312,60,415.577,56.4802,17.6632,12.1702
Natural Gas (EU),post 2014,"ARIMA(3, 1, 2)",84,60,152.6067,52.3211,17.2021,11.5799
Diamond Index,full sample,"ARIMA(1, 1, 1)",295,59,717.5321,7.1956,10.7187,8.2798
Gold PPI,full sample,"ARIMA(1, 2, 0)",312,60,3204.1903,32.1941,1252.6134,879.8863
Gold PPI,post 2014,"ARIMA(1, 2, 0)",84,60,871.6758,30.7362,1214.931,844.8011
