Series,Window,Order
CPI Inflation,full sample,"(1, 1, 0)"
CPI Inflation,post 2002,"(1, 0, 0)"
CPI Inflation,post 2014,"(1, 1, 0)"
USD/AOA Exchange Rate,full sample,"(1, 1, 1)"
USD/AOA Exchange Rate,post 2014,"(1, 1, 1)"
Real Interest Rate,full sample,"(0, 1, 0)"
Real Interest Rate,post 2014,"(0, 1, 0)"
Brent Crude Oil,full sample,"(1, 1, 0)"
Brent Crude Oil,post 2014,"(1, 1, 0)"
Natural Gas (EU),full sample,"(4, 1, 1)"
Natural Gas (EU),post 2014,"(3, 1, 2)"
Diamond Index,full sample,"(1, 1, 1)"
Gold PPI,full sample,"(1, 2, 0)"
Gold PPI,post 2014,"(1, 2, 0)"
