Date,cpi_inflation_pct_monthly
Mar/2026,0.55
Feb/2026,0.52
Jan/2026,0.68
Dec/2025,0.95
Nov/2025,0.85
Oct/2025,0.93
Sep/2025,1.08
Aug/2025,1.09
Jul/2025,1.47
Jun/2025,1.21
May/2025,1.17
Apr/2025,1.34
Mar/2025,1.38
Feb/2025,1.59
Jan/2025,1.67
Dec/2024,1.7
Nov/2024,1.61
Oct/2024,1.55
Sep/2024,1.63
Aug/2024,1.61
Jul/2024,1.68
Jun/2024,2.07
May/2024,2.49
Apr/2024,2.61
Mar/2024,2.54
Feb/2024,2.58
Jan/2024,2.49
Dec/2023,2.42
Nov/2023,2.21
Oct/2023,2.15
Sep/2023,2.1
Aug/2023,2.04
Jul/2023,1.6
Jun/2023,1.41
May/2023,0.95
Apr/2023,0.92
Mar/2023,0.9
Feb/2023,0.86
Jan/2023,0.83
Dec/2022,0.87
Nov/2022,0.82
Oct/2022,0.78
Sep/2022,0.79
Aug/2022,0.76
Jul/2022,0.81
Jun/2022,0.84
May/2022,0.93
Apr/2022,1.12
Mar/2022,1.56
Feb/2022,1.77
Jan/2022,2
Dec/2021,2.1
Nov/2021,2.08
Oct/2021,2.06
Sep/2021,2.18
Aug/2021,2.13
Jul/2021,2.1
Jun/2021,2.05
May/2021,2.03
Apr/2021,2.09
Mar/2021,1.78
Feb/2021,2.07
Jan/2021,2
Dec/2020,2.06
Nov/2020,1.99
Oct/2020,1.81
Sep/2020,1.79
Aug/2020,1.83
Jul/2020,1.78
Jun/2020,1.74
May/2020,1.94
Apr/2020,2.05
Mar/2020,1.85
Feb/2020,1.72
Jan/2020,2.05
Dec/2019,1.91
Nov/2019,1.53
Oct/2019,1.38
Sep/2019,1.45
Aug/2019,1.44
Jul/2019,1.52
Jun/2019,1.08
May/2019,1.09
Apr/2019,1.05
Mar/2019,1.09
Feb/2019,1.04
Jan/2019,1.14
Dec/2018,1.41
Nov/2018,1.31
Oct/2018,1.39
Sep/2018,2.69
Aug/2018,1.21
Jul/2018,1.25
Jun/2018,1.26
May/2018,1.27
Apr/2018,1.22
Mar/2018,1.44
Feb/2018,1.26
Jan/2018,1.47
Dec/2017,1.2
Nov/2017,1.04
Oct/2017,2.39
Sep/2017,2.14
Aug/2017,1.59
Jul/2017,1.69
Jun/2017,1.52
May/2017,1.6
Apr/2017,1.8
Mar/2017,1.91
Feb/2017,2.3
Jan/2017,2.25
Dec/2016,2.04
Nov/2016,2.29
Oct/2016,1.52
Sep/2016,2.14
Aug/2016,3.31
Jul/2016,4.26
Jun/2016,3.13
May/2016,3.31
Apr/2016,3.1
Mar/2016,3.25
Feb/2016,3.3
Jan/2016,3.32
Dec/2015,1.38
Nov/2015,1.19
Oct/2015,1.17
Sep/2015,1.08
Aug/2015,1
Jul/2015,1.14
Jun/2015,1.08
May/2015,1.03
Apr/2015,0.71
Mar/2015,0.52
Feb/2015,0.63
Jan/2015,0.53
Dec/2014,0.73
Nov/2014,0.53
Oct/2014,0.68
Sep/2014,0.63
Aug/2014,0.6
Jul/2014,0.61
Jun/2014,0.57
May/2014,0.62
Apr/2014,0.51
Mar/2014,0.51
Feb/2014,0.49
Jan/2014,0.76
Dec/2013,0.75
Nov/2013,0.52
Oct/2013,0.41
Sep/2013,0.5
Aug/2013,0.54
Jul/2013,0.52
Jun/2013,0.63
May/2013,0.87
Apr/2013,0.6
Mar/2013,0.66
Feb/2013,0.82
Jan/2013,0.61
Dec/2012,0.99
