Date,diamond_usd_carat_montlhy
1992-12-01,95.2
1993-01-01,
1993-02-01,
1993-03-01,95.5
1993-04-01,
1993-05-01,
1993-06-01,95.6
1993-07-01,
1993-08-01,
1993-09-01,96
1993-10-01,
1993-11-01,
1993-12-01,96.6
1994-01-01,
1994-02-01,
1994-03-01,96.7
1994-04-01,
1994-05-01,
1994-06-01,96.7
1994-07-01,
1994-08-01,
1994-09-01,96.9
1994-10-01,
1994-11-01,
1994-12-01,97.6
1995-01-01,
1995-02-01,
1995-03-01,97.6
1995-04-01,
1995-05-01,
1995-06-01,97.6
1995-07-01,
1995-08-01,
1995-09-01,98.2
1995-10-01,
1995-11-01,
1995-12-01,98.3
1996-01-01,
1996-02-01,
1996-03-01,98.4
1996-04-01,
1996-05-01,
1996-06-01,98.4
1996-07-01,
1996-08-01,
1996-09-01,99.2
1996-10-01,
1996-11-01,
1996-12-01,100.1
1997-01-01,99.6
1997-02-01,99.6
1997-03-01,99.6
1997-04-01,99.6
1997-05-01,100
1997-06-01,100
1997-07-01,100
1997-08-01,100
1997-09-01,100.1
1997-10-01,100.2
1997-11-01,100
1997-12-01,98.5
1998-01-01,97.6
1998-02-01,97.5
1998-03-01,97.4
1998-04-01,97.9
1998-05-01,97.9
1998-06-01,97.8
1998-07-01,97.8
1998-08-01,97.5
1998-09-01,97.5
1998-10-01,97.8
1998-11-01,97.8
1998-12-01,97.8
1999-01-01,97.6
1999-02-01,97.9
1999-03-01,98.1
1999-04-01,98.1
1999-05-01,98.1
1999-06-01,98.3
1999-07-01,98.3
1999-08-01,98.7
1999-09-01,98.7
1999-10-01,98.7
1999-11-01,98.7
1999-12-01,98.7
2000-01-01,98.8
2000-02-01,98.8
2000-03-01,99.3
2000-04-01,100
2000-05-01,100
2000-06-01,100.3
2000-07-01,100.3
2000-08-01,100.4
2000-09-01,100.4
2000-10-01,100.6
2000-11-01,100.6
2000-12-01,100.6
2001-01-01,100.6
2001-02-01,100.6
2001-03-01,100.6
2001-04-01,100.2
2001-05-01,100.3
2001-06-01,100.3
2001-07-01,100.3
2001-08-01,100
2001-09-01,100
2001-10-01,95
2001-11-01,95
2001-12-01,95.1
2002-01-01,95.1
2002-02-01,95.1
2002-03-01,95.2
2002-04-01,95.2
2002-05-01,95.2
2002-06-01,95.2
2002-07-01,95.2
2002-08-01,95.2
2002-09-01,95.2
2002-10-01,95.2
2002-11-01,95.2
2002-12-01,95.2
2003-01-01,95.2
2003-02-01,95.2
2003-03-01,95.2
2003-04-01,95.2
2003-05-01,95.2
2003-06-01,95.2
2003-07-01,95.2
2003-08-01,95.2
2003-09-01,95.2
2003-10-01,95.2
2003-11-01,95.2
2003-12-01,95.2
2004-01-01,95.2
2004-02-01,95.5
2004-03-01,95.6
2004-04-01,95.7
2004-05-01,96.1
2004-06-01,96.2
2004-07-01,96.4
2004-08-01,98
2004-09-01,98.1
2004-10-01,98.3
2004-11-01,98.3
2004-12-01,98.3
2005-01-01,97.9
2005-02-01,97.7
2005-03-01,97.8
2005-04-01,98
2005-05-01,98.2
2005-06-01,98.4
2005-07-01,98.6
2005-08-01,99.1
