IndicatorName,CountryName,Date,Value,SourceOfTheData
Inflation Rate Mom,Angola,31/03/2026,0.55,Trading Economics
Inflation Rate Mom,Angola,28/02/2026,0.52,Trading Economics
Inflation Rate Mom,Angola,31/01/2026,0.68,Trading Economics
Inflation Rate Mom,Angola,31/12/2025,0.95,Trading Economics
Inflation Rate Mom,Angola,30/11/2025,0.85,Trading Economics
Inflation Rate Mom,Angola,31/10/2025,0.93,Trading Economics
Inflation Rate Mom,Angola,30/09/2025,1.08,Trading Economics
Inflation Rate Mom,Angola,31/08/2025,1.09,Trading Economics
Inflation Rate Mom,Angola,31/07/2025,1.47,Trading Economics
Inflation Rate Mom,Angola,30/06/2025,1.21,Trading Economics
Inflation Rate Mom,Angola,31/05/2025,1.17,Trading Economics
Inflation Rate Mom,Angola,30/04/2025,1.34,Trading Economics
Inflation Rate Mom,Angola,31/03/2025,1.38,Trading Economics
Inflation Rate Mom,Angola,28/02/2025,1.59,Trading Economics
Inflation Rate Mom,Angola,31/01/2025,1.67,Trading Economics
Inflation Rate Mom,Angola,31/12/2024,1.7,Trading Economics
Inflation Rate Mom,Angola,30/11/2024,1.61,Trading Economics
Inflation Rate Mom,Angola,31/10/2024,1.55,Trading Economics
Inflation Rate Mom,Angola,30/09/2024,1.63,Trading Economics
Inflation Rate Mom,Angola,31/08/2024,1.61,Trading Economics
Inflation Rate Mom,Angola,31/07/2024,1.68,Trading Economics
Inflation Rate Mom,Angola,30/06/2024,2.07,Trading Economics
Inflation Rate Mom,Angola,31/05/2024,2.49,Trading Economics
Inflation Rate Mom,Angola,30/04/2024,2.61,Trading Economics
Inflation Rate Mom,Angola,31/03/2024,2.54,Trading Economics
Inflation Rate Mom,Angola,29/02/2024,2.58,Trading Economics
Inflation Rate Mom,Angola,31/01/2024,2.49,Trading Economics
Inflation Rate Mom,Angola,31/12/2023,2.42,Trading Economics
Inflation Rate Mom,Angola,30/11/2023,2.21,Trading Economics
Inflation Rate Mom,Angola,31/10/2023,2.15,Trading Economics
Inflation Rate Mom,Angola,30/09/2023,2.1,Trading Economics
Inflation Rate Mom,Angola,31/08/2023,2.04,Trading Economics
Inflation Rate Mom,Angola,31/07/2023,1.6,Trading Economics
Inflation Rate Mom,Angola,30/06/2023,1.41,Trading Economics
Inflation Rate Mom,Angola,31/05/2023,0.95,Trading Economics
Inflation Rate Mom,Angola,30/04/2023,0.92,Trading Economics
Inflation Rate Mom,Angola,31/03/2023,0.9,Trading Economics
Inflation Rate Mom,Angola,28/02/2023,0.86,Trading Economics
Inflation Rate Mom,Angola,31/01/2023,0.83,Trading Economics
Inflation Rate Mom,Angola,31/12/2022,0.87,Trading Economics
Inflation Rate Mom,Angola,30/11/2022,0.82,Trading Economics
Inflation Rate Mom,Angola,31/10/2022,0.78,Trading Economics
Inflation Rate Mom,Angola,30/09/2022,0.79,Trading Economics
Inflation Rate Mom,Angola,31/08/2022,0.76,Trading Economics
Inflation Rate Mom,Angola,31/07/2022,0.81,Trading Economics
Inflation Rate Mom,Angola,30/06/2022,0.84,Trading Economics
