Date,gold_usd_montlhy
1985-06-01,100
1985-07-01,100.2
1985-08-01,100.2
1985-09-01,99
1985-10-01,99.3
1985-11-01,99
1985-12-01,97.5
1986-01-01,95.8
1986-02-01,99.7
1986-03-01,102.8
1986-04-01,100.9
1986-05-01,104.6
1986-06-01,102.8
1986-07-01,100.3
1986-08-01,107.3
1986-09-01,
1986-10-01,
1986-11-01,
1986-12-01,
1987-01-01,
1987-02-01,
1987-03-01,
1987-04-01,
1987-05-01,
1987-06-01,
1987-07-01,
1987-08-01,
1987-09-01,
1987-10-01,
1987-11-01,
1987-12-01,
1988-01-01,
1988-02-01,
1988-03-01,
1988-04-01,
1988-05-01,
1988-06-01,
1988-07-01,
1988-08-01,
1988-09-01,
1988-10-01,
1988-11-01,
1988-12-01,
1989-01-01,
1989-02-01,
1989-03-01,
1989-04-01,
1989-05-01,
1989-06-01,
1989-07-01,
1989-08-01,
1989-09-01,
1989-10-01,
1989-11-01,
1989-12-01,
1990-01-01,
1990-02-01,
1990-03-01,
1990-04-01,
1990-05-01,
1990-06-01,
1990-07-01,
1990-08-01,
1990-09-01,
1990-10-01,
1990-11-01,
1990-12-01,
1991-01-01,
1991-02-01,
1991-03-01,
1991-04-01,
1991-05-01,
1991-06-01,
1991-07-01,110.5
1991-08-01,111.4
1991-09-01,107.6
1991-10-01,106.8
1991-11-01,108.5
1991-12-01,111.8
1992-01-01,108.6
1992-02-01,108.6
1992-03-01,109.1
1992-04-01,106.1
1992-05-01,104.6
1992-06-01,106
1992-07-01,106.1
1992-08-01,107.9
1992-09-01,107.3
1992-10-01,107.7
1992-11-01,105.4
1992-12-01,103.9
1993-01-01,102.9
1993-02-01,101
1993-03-01,101
1993-04-01,102.2
1993-05-01,105.6
1993-06-01,111.5
1993-07-01,114.3
1993-08-01,115.5
1993-09-01,110.6
1993-10-01,108.8
1993-11-01,111.5
1993-12-01,113.9
1994-01-01,115
1994-02-01,115.7
1994-03-01,114.8
1994-04-01,114.4
1994-05-01,114.1
1994-06-01,116.2
1994-07-01,119.2
1994-08-01,118.7
1994-09-01,119.1
1994-10-01,120.6
1994-11-01,119.7
1994-12-01,117.1
1995-01-01,116.3
1995-02-01,116.3
1995-03-01,116.9
1995-04-01,119
1995-05-01,120.5
1995-06-01,119
1995-07-01,118.9
1995-08-01,118.4
1995-09-01,117.8
1995-10-01,118.5
1995-11-01,118.7
1995-12-01,119.1
1996-01-01,120.8
1996-02-01,124.7
1996-03-01,122
1996-04-01,121.5
1996-05-01,120.6
1996-06-01,119
1996-07-01,118
1996-08-01,119.3
1996-09-01,118.2
1996-10-01,117.5
1996-11-01,117.6
1996-12-01,114
1997-01-01,110.7
1997-02-01,105.9
1997-03-01,109.1
1997-04-01,106.9
1997-05-01,107.8
1997-06-01,106.6
1997-07-01,99.3
1997-08-01,101.2
1997-09-01,100
1997-10-01,101.9
1997-11-01,97.2
1997-12-01,89.7
1998-01-01,88.1
1998-02-01,93.6
1998-03-01,92.8
1998-04-01,95.6
1998-05-01,93.6
1998-06-01,92.8
1998-07-01,92.3
1998-08-01,88.7
1998-09-01,89.8
1998-10-01,92.1
1998-11-01,91.7
1998-12-01,91.6
1999-01-01,89.9
1999-02-01,90.9
1999-03-01,90.7
1999-04-01,89.3
1999-05-01,88.7
1999-06-01,81.7
1999-07-01,81.5
1999-08-01,81.7
1999-09-01,80.7
1999-10-01,98
1999-11-01,89.3
1999-12-01,86.1
2000-01-01,86.7
2000-02-01,92.3
2000-03-01,88.8
2000-04-01,86.3
2000-05-01,85.3
2000-06-01,88.6
2000-07-01,86.7
2000-08-01,84.2
2000-09-01,84.3
2000-10-01,82.8
2000-11-01,81.5
2000-12-01,83.4
2001-01-01,81.5
2001-02-01,80.6
2001-03-01,83
2001-04-01,78.5
2001-05-01,82.3
2001-06-01,82.8
2001-07-01,82
2001-08-01,84.3
2001-09-01,87.1
2001-10-01,87.4
2001-11-01,85.2
2001-12-01,83.2
2002-01-01,87
2002-02-01,91.2
2002-03-01,89.9
2002-04-01,91.5
2002-05-01,94.1
2002-06-01,96.7
2002-07-01,95.9
2002-08-01,95
2002-09-01,97.5
2002-10-01,96.8
2002-11-01,96.9
2002-12-01,98.8
2003-01-01,106.2
2003-02-01,111.9
2003-03-01,106
2003-04-01,98.8
2003-05-01,105.3
2003-06-01,108.5
2003-07-01,105.3
2003-08-01,108.8
2003-09-01,115.5
2003-10-01,113.8
2003-11-01,116.8
2003-12-01,122.6
2004-01-01,128.2
2004-02-01,123.5
2004-03-01,121.6
2004-04-01,125.4
2004-05-01,115.1
2004-06-01,116.6
2004-07-01,122.2
2004-08-01,120.6
2004-09-01,122.7
2004-10-01,126.7
2004-11-01,131.8
2004-12-01,133.5
2005-01-01,128.5
2005-02-01,127.1
2005-03-01,133.7
2005-04-01,128.9
2005-05-01,128.8
2005-06-01,127.5
2005-07-01,128
2005-08-01,134.3
2005-09-01,135.7
2005-10-01,141.5
2005-11-01,140.8
2005-12-01,157.3
2006-01-01,160.8
2006-02-01,166
2006-03-01,162.6
2006-04-01,177
2006-05-01,212
2006-06-01,181.5
2006-07-01,188.5
2006-08-01,190.6
2006-09-01,182.2
2006-10-01,168.9
2006-11-01,189.1
2006-12-01,190.8
2007-01-01,183.4
2007-02-01,198.7
2007-03-01,195.3
2007-04-01,202.9
2007-05-01,200.1
2007-06-01,195.9
2007-07-01,196.4
2007-08-01,199.8
2007-09-01,209.6
2007-10-01,219.4
2007-11-01,238
2007-12-01,238.3
2008-01-01,213.6
2008-02-01,223.1
2008-03-01,236
