Series,Column,Model,Window,Date,Actual,Predicted,Error,Abs_Error
CPI Inflation,cpi_inflation_pct,XGBoost,full_sample,2021-01,2.0,1.886,0.114,0.114
CPI Inflation,cpi_inflation_pct,XGBoost,full_sample,2021-02,2.07,1.8166,0.2534,0.2534
CPI Inflation,cpi_inflation_pct,XGBoost,full_sample,2021-03,1.78,1.8431,-0.0631,0.0631
CPI Inflation,cpi_inflation_pct,XGBoost,full_sample,2021-04,2.09,1.849,0.241,0.241
CPI Inflation,cpi_inflation_pct,XGBoost,full_sample,2021-05,2.03,2.0371,-0.0071,0.0071
CPI Inflation,cpi_inflation_pct,XGBoost,full_sample,2021-06,2.05,1.8252,0.2248,0.2248
CPI Inflation,cpi_inflation_pct,XGBoost,full_sample,2021-07,2.1,1.9777,0.1223,0.1223
CPI Inflation,cpi_inflation_pct,XGBoost,full_sample,2021-08,2.13,1.929,0.201,0.201
CPI Inflation,cpi_inflation_pct,XGBoost,full_sample,2021-09,2.18,2.0104,0.1696,0.1696
CPI Inflation,cpi_inflation_pct,XGBoost,full_sample,2021-10,2.06,2.0655,-0.0055,0.0055
CPI Inflation,cpi_inflation_pct,XGBoost,full_sample,2021-11,2.08,2.0088,0.0712,0.0712
CPI Inflation,cpi_inflation_pct,XGBoost,full_sample,2021-12,2.1,2.274,-0.174,0.174
CPI Inflation,cpi_inflation_pct,XGBoost,full_sample,2022-01,2.0,2.0745,-0.0745,0.0745
CPI Inflation,cpi_inflation_pct,XGBoost,full_sample,2022-02,1.77,2.0292,-0.2592,0.2592
CPI Inflation,cpi_inflation_pct,XGBoost,full_sample,2022-03,1.56,1.8227,-0.2627,0.2627
CPI Inflation,cpi_inflation_pct,XGBoost,full_sample,2022-04,1.12,1.6638,-0.5438,0.5438
CPI Inflation,cpi_inflation_pct,XGBoost,full_sample,2022-05,0.93,1.3488,-0.4188,0.4188
CPI Inflation,cpi_inflation_pct,XGBoost,full_sample,2022-06,0.84,1.0176,-0.1776,0.1776
CPI Inflation,cpi_inflation_pct,XGBoost,full_sample,2022-07,0.81,1.0129,-0.2029,0.2029
CPI Inflation,cpi_inflation_pct,XGBoost,full_sample,2022-08,0.76,0.9812,-0.2212,0.2212
CPI Inflation,cpi_inflation_pct,XGBoost,full_sample,2022-09,0.79,1.0466,-0.2566,0.2566
CPI Inflation,cpi_inflation_pct,XGBoost,full_sample,2022-10,0.78,1.0417,-0.2617,0.2617
CPI Inflation,cpi_inflation_pct,XGBoost,full_sample,2022-11,0.82,1.0329,-0.2129,0.2129
CPI Inflation,cpi_inflation_pct,XGBoost,full_sample,2022-12,0.87,1.347,-0.477,0.477
CPI Inflation,cpi_inflation_pct,XGBoost,full_sample,2023-01,0.83,1.1554,-0.3254,0.3254
CPI Inflation,cpi_inflation_pct,XGBoost,full_sample,2023-02,0.86,1.0541,-0.1941,0.1941
CPI Inflation,cpi_inflation_pct,XGBoost,full_sample,2023-03,0.9,1.1894,-0.2894,0.2894
CPI Inflation,cpi_inflation_pct,XGBoost,full_sample,2023-04,0.92,1.1639,-0.2439,0.2439
CPI Inflation,cpi_inflation_pct,XGBoost,full_sample,2023-05,0.95,1.1753,-0.2253,0.2253
CPI Inflation,cpi_inflation_pct,XGBoost,full_sample,2023-06,1.41,1.1087,0.3013,0.3013
CPI Inflation,cpi_inflation_pct,XGBoost,full_sample,2023-07,1.6,1.3545,0.2455,0.2455
CPI Inflation,cpi_inflation_pct,XGBoost,full_sample,2023-08,2.04,1.1825,0.8575,0.8575
CPI Inflation,cpi_inflation_pct,XGBoost,full_sample,2023-09,2.1,1.464,0.636,0.636
CPI Inflation,cpi_inflation_pct,XGBoost,full_sample,2023-10,2.15,1.6185,0.5315,0.5315
CPI Inflation,cpi_inflation_pct,XGBoost,full_sample,2023-11,2.21,1.7106,0.4994,0.4994
CPI Inflation,cpi_inflation_pct,XGBoost,full_sample,2023-12,2.42,2.052,0.368,0.368
CPI Inflation,cpi_inflation_pct,XGBoost,full_sample,2024-01,2.49,2.4161,0.0739,0.0739
CPI Inflation,cpi_inflation_pct,XGBoost,full_sample,2024-02,2.58,2.4271,0.1529,0.1529
CPI Inflation,cpi_inflation_pct,XGBoost,full_sample,2024-03,2.54,2.7134,-0.1734,0.1734
CPI Inflation,cpi_inflation_pct,XGBoost,full_sample,2024-04,2.61,2.7176,-0.1076,0.1076
CPI Inflation,cpi_inflation_pct,XGBoost,full_sample,2024-05,2.49,2.9874,-0.4974,0.4974
CPI Inflation,cpi_inflation_pct,XGBoost,full_sample,2024-06,2.07,2.7794,-0.7094,0.7094
CPI Inflation,cpi_inflation_pct,XGBoost,full_sample,2024-07,1.68,2.2926,-0.6126,0.6126
CPI Inflation,cpi_inflation_pct,XGBoost,full_sample,2024-08,1.61,1.7473,-0.1373,0.1373
CPI Inflation,cpi_inflation_pct,XGBoost,full_sample,2024-09,1.63,1.7262,-0.0962,0.0962
CPI Inflation,cpi_inflation_pct,XGBoost,full_sample,2024-10,1.55,1.5955,-0.0455,0.0455
CPI Inflation,cpi_inflation_pct,XGBoost,full_sample,2024-11,1.61,1.5893,0.0207,0.0207
CPI Inflation,cpi_inflation_pct,XGBoost,full_sample,2024-12,1.7,1.8922,-0.1922,0.1922
CPI Inflation,cpi_inflation_pct,XGBoost,full_sample,2025-01,1.67,1.8093,-0.1393,0.1393
CPI Inflation,cpi_inflation_pct,XGBoost,full_sample,2025-02,1.59,1.7704,-0.1804,0.1804
CPI Inflation,cpi_inflation_pct,XGBoost,full_sample,2025-03,1.38,1.7704,-0.3904,0.3904
CPI Inflation,cpi_inflation_pct,XGBoost,full_sample,2025-04,1.34,1.5395,-0.1995,0.1995
CPI Inflation,cpi_inflation_pct,XGBoost,full_sample,2025-05,1.17,1.4576,-0.2876,0.2876
CPI Inflation,cpi_inflation_pct,XGBoost,full_sample,2025-06,1.21,1.366,-0.156,0.156
CPI Inflation,cpi_inflation_pct,XGBoost,full_sample,2025-07,1.47,1.4414,0.0286,0.0286
CPI Inflation,cpi_inflation_pct,XGBoost,full_sample,2025-08,1.09,1.4474,-0.3574,0.3574
CPI Inflation,cpi_inflation_pct,XGBoost,full_sample,2025-09,1.08,1.3695,-0.2895,0.2895
CPI Inflation,cpi_inflation_pct,XGBoost,full_sample,2025-10,0.93,1.3197,-0.3897,0.3897
CPI Inflation,cpi_inflation_pct,XGBoost,full_sample,2025-11,0.85,1.1342,-0.2842,0.2842
CPI Inflation,cpi_inflation_pct,XGBoost,full_sample,2025-12,0.95,1.2448,-0.2948,0.2948
CPI Inflation,cpi_inflation_pct,RandomForest,full_sample,2021-01,2.0,1.7852,0.2148,0.2148
CPI Inflation,cpi_inflation_pct,RandomForest,full_sample,2021-02,2.07,1.7875,0.2825,0.2825
CPI Inflation,cpi_inflation_pct,RandomForest,full_sample,2021-03,1.78,1.7147,0.0653,0.0653
CPI Inflation,cpi_inflation_pct,RandomForest,full_sample,2021-04,2.09,1.7285,0.3615,0.3615
CPI Inflation,cpi_inflation_pct,RandomForest,full_sample,2021-05,2.03,1.7444,0.2856,0.2856
CPI Inflation,cpi_inflation_pct,RandomForest,full_sample,2021-06,2.05,1.7444,0.3056,0.3056
CPI Inflation,cpi_inflation_pct,RandomForest,full_sample,2021-07,2.1,1.7476,0.3524,0.3524
CPI Inflation,cpi_inflation_pct,RandomForest,full_sample,2021-08,2.13,1.7534,0.3766,0.3766
CPI Inflation,cpi_inflation_pct,RandomForest,full_sample,2021-09,2.18,1.7693,0.4107,0.4107
CPI Inflation,cpi_inflation_pct,RandomForest,full_sample,2021-10,2.06,1.7844,0.2756,0.2756
CPI Inflation,cpi_inflation_pct,RandomForest,full_sample,2021-11,2.08,1.7576,0.3224,0.3224
CPI Inflation,cpi_inflation_pct,RandomForest,full_sample,2021-12,2.1,1.7691,0.3309,0.3309
CPI Inflation,cpi_inflation_pct,RandomForest,full_sample,2022-01,2.0,1.7657,0.2343,0.2343
CPI Inflation,cpi_inflation_pct,RandomForest,full_sample,2022-02,1.77,1.7686,0.0014,0.0014
CPI Inflation,cpi_inflation_pct,RandomForest,full_sample,2022-03,1.56,1.669,-0.109,0.109
CPI Inflation,cpi_inflation_pct,RandomForest,full_sample,2022-04,1.12,1.7677,-0.6477,0.6477
CPI Inflation,cpi_inflation_pct,RandomForest,full_sample,2022-05,0.93,1.368,-0.438,0.438
CPI Inflation,cpi_inflation_pct,RandomForest,full_sample,2022-06,0.84,1.1415,-0.3015,0.3015
CPI Inflation,cpi_inflation_pct,RandomForest,full_sample,2022-07,0.81,0.9522,-0.1422,0.1422
CPI Inflation,cpi_inflation_pct,RandomForest,full_sample,2022-08,0.76,0.9623,-0.2023,0.2023
CPI Inflation,cpi_inflation_pct,RandomForest,full_sample,2022-09,0.79,0.9434,-0.1534,0.1534
CPI Inflation,cpi_inflation_pct,RandomForest,full_sample,2022-10,0.78,0.9315,-0.1515,0.1515
CPI Inflation,cpi_inflation_pct,RandomForest,full_sample,2022-11,0.82,0.9325,-0.1125,0.1125
CPI Inflation,cpi_inflation_pct,RandomForest,full_sample,2022-12,0.87,0.9931,-0.1231,0.1231
CPI Inflation,cpi_inflation_pct,RandomForest,full_sample,2023-01,0.83,1.074,-0.244,0.244
CPI Inflation,cpi_inflation_pct,RandomForest,full_sample,2023-02,0.86,0.9231,-0.0631,0.0631
CPI Inflation,cpi_inflation_pct,RandomForest,full_sample,2023-03,0.9,1.0096,-0.1096,0.1096
CPI Inflation,cpi_inflation_pct,RandomForest,full_sample,2023-04,0.92,1.0103,-0.0903,0.0903
CPI Inflation,cpi_inflation_pct,RandomForest,full_sample,2023-05,0.95,1.0395,-0.0895,0.0895
CPI Inflation,cpi_inflation_pct,RandomForest,full_sample,2023-06,1.41,1.0482,0.3618,0.3618
CPI Inflation,cpi_inflation_pct,RandomForest,full_sample,2023-07,1.6,1.4526,0.1474,0.1474
CPI Inflation,cpi_inflation_pct,RandomForest,full_sample,2023-08,2.04,1.3249,0.7151,0.7151
CPI Inflation,cpi_inflation_pct,RandomForest,full_sample,2023-09,2.1,1.651,0.449,0.449
CPI Inflation,cpi_inflation_pct,RandomForest,full_sample,2023-10,2.15,1.6829,0.4671,0.4671
CPI Inflation,cpi_inflation_pct,RandomForest,full_sample,2023-11,2.21,1.7377,0.4723,0.4723
CPI Inflation,cpi_inflation_pct,RandomForest,full_sample,2023-12,2.42,1.8314,0.5886,0.5886
CPI Inflation,cpi_inflation_pct,RandomForest,full_sample,2024-01,2.49,2.285,0.205,0.205
CPI Inflation,cpi_inflation_pct,RandomForest,full_sample,2024-02,2.58,2.3484,0.2316,0.2316
CPI Inflation,cpi_inflation_pct,RandomForest,full_sample,2024-03,2.54,2.2928,0.2472,0.2472
CPI Inflation,cpi_inflation_pct,RandomForest,full_sample,2024-04,2.61,2.36,0.25,0.25
CPI Inflation,cpi_inflation_pct,RandomForest,full_sample,2024-05,2.49,2.4203,0.0697,0.0697
CPI Inflation,cpi_inflation_pct,RandomForest,full_sample,2024-06,2.07,2.3585,-0.2885,0.2885
CPI Inflation,cpi_inflation_pct,RandomForest,full_sample,2024-07,1.68,1.9649,-0.2849,0.2849
CPI Inflation,cpi_inflation_pct,RandomForest,full_sample,2024-08,1.61,1.7131,-0.1031,0.1031
CPI Inflation,cpi_inflation_pct,RandomForest,full_sample,2024-09,1.63,1.717,-0.087,0.087
CPI Inflation,cpi_inflation_pct,RandomForest,full_sample,2024-10,1.55,1.714,-0.164,0.164
CPI Inflation,cpi_inflation_pct,RandomForest,full_sample,2024-11,1.61,1.7082,-0.0982,0.0982
CPI Inflation,cpi_inflation_pct,RandomForest,full_sample,2024-12,1.7,1.7669,-0.0669,0.0669
CPI Inflation,cpi_inflation_pct,RandomForest,full_sample,2025-01,1.67,1.7697,-0.0997,0.0997
CPI Inflation,cpi_inflation_pct,RandomForest,full_sample,2025-02,1.59,1.775,-0.185,0.185
CPI Inflation,cpi_inflation_pct,RandomForest,full_sample,2025-03,1.38,1.7095,-0.3295,0.3295
CPI Inflation,cpi_inflation_pct,RandomForest,full_sample,2025-04,1.34,1.6193,-0.2793,0.2793
CPI Inflation,cpi_inflation_pct,RandomForest,full_sample,2025-05,1.17,1.5718,-0.4018,0.4018
CPI Inflation,cpi_inflation_pct,RandomForest,full_sample,2025-06,1.21,1.4374,-0.2274,0.2274
CPI Inflation,cpi_inflation_pct,RandomForest,full_sample,2025-07,1.47,1.4736,-0.0036,0.0036
CPI Inflation,cpi_inflation_pct,RandomForest,full_sample,2025-08,1.09,1.4407,-0.3507,0.3507
CPI Inflation,cpi_inflation_pct,RandomForest,full_sample,2025-09,1.08,1.2091,-0.1291,0.1291
CPI Inflation,cpi_inflation_pct,RandomForest,full_sample,2025-10,0.93,1.1883,-0.2583,0.2583
CPI Inflation,cpi_inflation_pct,RandomForest,full_sample,2025-11,0.85,1.0842,-0.2342,0.2342
CPI Inflation,cpi_inflation_pct,RandomForest,full_sample,2025-12,0.95,0.9864,-0.0364,0.0364
CPI Inflation,cpi_inflation_pct,XGBoost,post_2014,2021-01,2.0,1.8868,0.1132,0.1132
CPI Inflation,cpi_inflation_pct,XGBoost,post_2014,2021-02,2.07,1.8448,0.2252,0.2252
CPI Inflation,cpi_inflation_pct,XGBoost,post_2014,2021-03,1.78,1.857,-0.077,0.077
CPI Inflation,cpi_inflation_pct,XGBoost,post_2014,2021-04,2.09,1.8004,0.2896,0.2896
CPI Inflation,cpi_inflation_pct,XGBoost,post_2014,2021-05,2.03,1.8343,0.1957,0.1957
CPI Inflation,cpi_inflation_pct,XGBoost,post_2014,2021-06,2.05,1.7907,0.2593,0.2593
CPI Inflation,cpi_inflation_pct,XGBoost,post_2014,2021-07,2.1,1.8214,0.2786,0.2786
CPI Inflation,cpi_inflation_pct,XGBoost,post_2014,2021-08,2.13,1.7885,0.3415,0.3415
CPI Inflation,cpi_inflation_pct,XGBoost,post_2014,2021-09,2.18,1.8439,0.3361,0.3361
CPI Inflation,cpi_inflation_pct,XGBoost,post_2014,2021-10,2.06,1.9668,0.0932,0.0932
CPI Inflation,cpi_inflation_pct,XGBoost,post_2014,2021-11,2.08,1.9351,0.1449,0.1449
CPI Inflation,cpi_inflation_pct,XGBoost,post_2014,2021-12,2.1,1.9422,0.1578,0.1578
CPI Inflation,cpi_inflation_pct,XGBoost,post_2014,2022-01,2.0,1.9407,0.0593,0.0593
CPI Inflation,cpi_inflation_pct,XGBoost,post_2014,2022-02,1.77,1.9413,-0.1713,0.1713
CPI Inflation,cpi_inflation_pct,XGBoost,post_2014,2022-03,1.56,1.7696,-0.2096,0.2096
CPI Inflation,cpi_inflation_pct,XGBoost,post_2014,2022-04,1.12,1.8044,-0.6844,0.6844
CPI Inflation,cpi_inflation_pct,XGBoost,post_2014,2022-05,0.93,1.3287,-0.3987,0.3987
CPI Inflation,cpi_inflation_pct,XGBoost,post_2014,2022-06,0.84,1.1648,-0.3248,0.3248
CPI Inflation,cpi_inflation_pct,XGBoost,post_2014,2022-07,0.81,1.1131,-0.3031,0.3031
CPI Inflation,cpi_inflation_pct,XGBoost,post_2014,2022-08,0.76,1.0929,-0.3329,0.3329
CPI Inflation,cpi_inflation_pct,XGBoost,post_2014,2022-09,0.79,1.2257,-0.4357,0.4357
CPI Inflation,cpi_inflation_pct,XGBoost,post_2014,2022-10,0.78,1.1644,-0.3844,0.3844
CPI Inflation,cpi_inflation_pct,XGBoost,post_2014,2022-11,0.82,1.2569,-0.4369,0.4369
CPI Inflation,cpi_inflation_pct,XGBoost,post_2014,2022-12,0.87,1.3402,-0.4702,0.4702
CPI Inflation,cpi_inflation_pct,XGBoost,post_2014,2023-01,0.83,1.1573,-0.3273,0.3273
CPI Inflation,cpi_inflation_pct,XGBoost,post_2014,2023-02,0.86,1.1144,-0.2544,0.2544
CPI Inflation,cpi_inflation_pct,XGBoost,post_2014,2023-03,0.9,1.2374,-0.3374,0.3374
CPI Inflation,cpi_inflation_pct,XGBoost,post_2014,2023-04,0.92,1.0943,-0.1743,0.1743
CPI Inflation,cpi_inflation_pct,XGBoost,post_2014,2023-05,0.95,1.1083,-0.1583,0.1583
CPI Inflation,cpi_inflation_pct,XGBoost,post_2014,2023-06,1.41,1.0916,0.3184,0.3184
CPI Inflation,cpi_inflation_pct,XGBoost,post_2014,2023-07,1.6,1.5396,0.0604,0.0604
