Date,nat_gas_usd_mmbu_monthly
1992-01-01,2.379999797
1992-02-01,2.379999797
1992-03-01,2.379999797
1992-04-01,2.339999729
1992-05-01,2.339999729
1992-06-01,2.339999729
1992-07-01,2.390000237
1992-08-01,2.390000237
1992-09-01,2.390000237
1992-10-01,2.35000017
1992-11-01,2.35000017
1992-12-01,2.35000017
1993-01-01,2.699999915
1993-02-01,2.699999915
1993-03-01,2.699999915
1993-04-01,2.609999975
1993-05-01,2.599999958
1993-06-01,2.599999958
1993-07-01,2.550000085
1993-08-01,2.550000085
1993-09-01,2.550000085
1993-10-01,2.540000068
1993-11-01,2.540000068
1993-12-01,2.540000068
1994-01-01,2.219999949
1994-02-01,2.219999949
1994-03-01,2.219999949
1994-04-01,2.239999983
1994-05-01,2.239999983
1994-06-01,2.239999983
1994-07-01,2.349999958
1994-08-01,2.349999958
1994-09-01,2.349999958
1994-10-01,2.439999898
1994-11-01,2.439999898
1994-12-01,2.439999898
1995-01-01,2.589999941
1995-02-01,2.589999941
1995-03-01,2.589999941
1995-04-01,2.689999898
1995-05-01,2.689999898
1995-06-01,2.689999898
1995-07-01,2.76944436
1995-08-01,2.76944436
1995-09-01,2.76944436
1995-10-01,2.824999915
1995-11-01,2.689999898
1995-12-01,2.689999898
1996-01-01,2.680000093
1996-02-01,2.680000093
1996-03-01,2.680000093
1996-04-01,2.689999898
1996-05-01,2.689999898
1996-06-01,2.689999898
1996-07-01,2.689999898
1996-08-01,2.689999898
1996-09-01,2.689999898
1996-10-01,2.939999898
1996-11-01,2.939999898
1996-12-01,2.939999898
1997-01-01,3
1997-02-01,2.944444444
1997-03-01,2.760000017
1997-04-01,2.729999966
1997-05-01,2.729999966
1997-06-01,2.729999966
1997-07-01,2.599999958
1997-08-01,2.599999958
1997-09-01,2.599999958
1997-10-01,2.449999915
1997-11-01,2.449999915
1997-12-01,2.449999915
1998-01-01,2.489999983
1998-02-01,2.489999983
1998-03-01,2.489999983
1998-04-01,2.369999992
1998-05-01,2.369999992
1998-06-01,2.369999992
1998-07-01,2.209999932
1998-08-01,2.209999932
1998-09-01,2.209999932
1998-10-01,1.910000059
1998-11-01,1.910000059
1998-12-01,1.910000059
1999-01-01,1.788888889
1999-02-01,1.788888889
1999-03-01,1.788888889
1999-04-01,1.67
1999-05-01,1.67
1999-06-01,1.67
1999-07-01,1.73
1999-08-01,1.73
1999-09-01,1.73
1999-10-01,2.038888889
1999-11-01,2.038888889
1999-12-01,2.038888889
2000-01-01,3.055555556
2000-02-01,3.055555556
2000-03-01,3.055555556
2000-04-01,3.24
2000-05-01,3.24
2000-06-01,3.24
2000-07-01,3.59
2000-08-01,3.59
2000-09-01,3.59
2000-10-01,3.93
2000-11-01,3.93
2000-12-01,3.93
2001-01-01,4.22
2001-02-01,4.22
2001-03-01,4.22
2001-04-01,4.26
2001-05-01,4.26
2001-06-01,4.26
2001-07-01,3.78
2001-08-01,3.78
2001-09-01,3.78
2001-10-01,3.24
2001-11-01,3.24
2001-12-01,3.218571429
2002-01-01,2.79
2002-02-01,2.79
2002-03-01,2.79
2002-04-01,2.56
2002-05-01,2.56
2002-06-01,2.56
2002-07-01,2.52
2002-08-01,2.52
2002-09-01,2.532380952
2002-10-01,2.78
2002-11-01,2.78
2002-12-01,2.813636364
2003-01-01,3.15
2003-02-01,3.15
2003-03-01,3.17037037
2003-04-01,3.577777778
2003-05-01,3.577777778
2003-06-01,3.58
2003-07-01,3.61
2003-08-01,3.61
2003-09-01,3.61
2003-10-01,3.6
2003-11-01,3.6
2003-12-01,3.6
2004-01-01,3.39
2004-02-01,3.39
2004-03-01,3.39
2004-04-01,3.48
2004-05-01,3.48
2004-06-01,3.48
2004-07-01,3.81
2004-08-01,3.81
2004-09-01,3.81
2004-10-01,4.34
2004-11-01,4.34
2004-12-01,4.34
2005-01-01,5.06
2005-02-01,5.06
2005-03-01,5.06
2005-04-01,5.51
2005-05-01,5.51
2005-06-01,5.51
2005-07-01,6.13
2005-08-01,6.13
2005-09-01,6.13
2005-10-01,6.96
2005-11-01,6.96
2005-12-01,6.96
2006-01-01,7.66
